User_Id,User_Name,Platform,State,Region,Date,Followers,Likes,Shares,Views,Comments,Content_Id,Revenue_Source,Revenue
GytvukFhF4,Manjari Sarma,Facebook,Madhya Pradesh,Central,27-12-2022,677796,19358,15484,862386,2399,pkjVe6MCIJQ2,Guest Appearance,3232759.21
tBDNXKveCc,Kaira Zacharia,Facebook,Rajasthan,West,21-02-2022,907231,11835,40305,4983502,8307,xJ7Tc4JlLF7B,Consultancy,9823873.43
FkpBBGjxrz,Anvi Mani,Facebook,Assam,East,26-01-2024,662532,84843,21931,552908,5401,fQrSO42uKiv7,Patrion,1290387.63
6txXYPZTQG,Saksham Kaul,Snapchat,Tamil Nadu,South,01-06-2024,381211,40483,11813,1796778,5598,6Eoie0gVZ2cu,Guest Appearance,1311359.37
jlQM3ScwS8,Ivan Chakraborty,Youtube,Madhya Pradesh,Central,26-12-2022,471735,30671,34996,2006290,5070,7W4mQJBVWFzk,Collaboration,8012790.98
2dDx5SFhfj,Riya Rana,Snapchat,Chhattisgarh,Central,27-03-2024,459723,12021,14551,3784335,5727,5zyxxfntgSuj,Sponsorship,2869507.09
DZVDM4bnj6,Onkar Sagar,Youtube,Uttarakhand,North,04-07-2024,814875,37762,15573,2526239,1996,cAXCg4KbFpiA,Guest Appearance,3528807.58
zPf8eGF9Iy,Seher Ramachandran,Snapchat,Odisha,East,13-11-2020,392435,33246,48976,136249,5850,WvTMVTucHYkW,Patrion,9808211.04
NYdWCscmc5,Mahika Buch,Youtube,Meghalaya,Unknown,16-09-2023,266618,4799,49367,1603091,4687,wW1uhw3U3x8E,Patrion,3674101.92
GXTeLYHteO,Samarth Bava,Facebook,Uttar Pradesh,North,23-10-2023,447815,21842,45204,3723773,5759,BT4MANXdPzFU,Collaboration,9527941.17
0QBhoOw6cj,Madhup Dora,Snapchat,Chhattisgarh,Central,15-06-2022,801152,10077,37612,1155070,8674,wtr7blG4hWRn,Guest Appearance,2856483.2
miekS9Y79P,Dhanuk Manda,Twitter / X,Meghalaya,Unknown,10-09-2024,935629,39315,10322,1460381,5922,FhmiXbIwXILf,Consultancy,3982201.65
SGVZe8NBQv,Amira Dhawan,Youtube,Tamil Nadu,South,25-03-2024,136300,56704,32955,464836,2034,Gsk5n6Grem7r,Consultancy,6144668.35
Fk6jOSL0IZ,Jivin Bail,Twitter / X,Assam,East,21-01-2020,809475,75598,17344,1768388,9373,zNEMr7DXQsed,Patrion,4156801.84
mLtST18iwI,Kabir Balan,Facebook,Manipur,Unknown,04-08-2021,281464,58929,16247,1181767,1586,d61z73Y5Slj9,Patrion,4988098.32
EfyCoKdrL0,Tiya Lad,Snapchat,Jharkhand,East,01-09-2022,889324,14089,28241,1123527,4333,TVwyJmIeFVr9,Guest Appearance,1188991.39
yXv6UmFFci,Alia Agate,Facebook,Bihar,East,15-09-2023,157175,79463,33784,1172567,5373,5tyM0KFFEIDb,Consultancy,6738390.12
KXSQbD7WWJ,Onkar Mangal,Twitter / X,Maharashtra,West,06-08-2024,550697,82447,47263,3189267,2421,YpJRlBzzmFLD,Sponsorship,7058046.55
muPGtk4vvV,Aaina Ganesh,Facebook,Mizoram,Unknown,07-08-2024,259494,36569,36574,2503992,3684,68VRQEDI5SrJ,Guest Appearance,3797562.16
Y7XsrSvBpD,Anahita Ratta,Instagram,Madhya Pradesh,Central,18-05-2024,730988,35601,8996,916258,9614,od4noguDQi78,Collaboration,4069667.61
Dm7tO4fJHS,Neysa Dewan,Twitter / X,Meghalaya,Unknown,27-07-2021,185327,4763,26017,4155581,3052,6752aJg8r9HE,Collaboration,8510746.33
qYuTOSausP,Shanaya Jayaraman,Instagram,Manipur,Unknown,28-10-2021,670752,53148,28029,4322487,5372,fPliupqoU7sS,Sponsorship,2616269.96
QdhtzF3Rth,Vihaan Halder,Facebook,Kerala,South,08-10-2022,230772,17507,31338,1285013,7454,ULzIDHPnpU2f,Patrion,5282203.07
eIdHFJjuGh,Taimur Arya,Instagram,Kerala,South,03-08-2024,943553,66895,29195,466706,7429,izIIPtbpaneA,Sponsorship,5412093.88
5e5bzVV8OA,Amira Arora,Snapchat,Arunachal Pradesh,East,13-07-2023,85148,89486,43371,4523978,2178,OvlHGTnabsPH,Guest Appearance,3793385.4
pvr6SgYzV2,Tanya Mann,Twitter / X,Haryana,North,03-04-2021,106797,77849,2200,3745019,9794,P2pcBHUWi9o4,Guest Appearance,3189718.06
VYo29GzrIK,Badal Ahluwalia,Instagram,Punjab,North,16-09-2023,50161,45143,42160,3197356,8592,tzjxUD0sRX4I,Patrion,5573310.3
ypueBxHZdx,Baiju Chowdhury,Youtube,Chhattisgarh,Central,28-01-2024,77319,24662,49918,4929009,9156,nm4s4nlTUU4R,Collaboration,3966923.97
IWxHwqFEg8,Anaya Ratta,Snapchat,Haryana,North,12-04-2022,329122,54254,2996,4718799,3625,TbIKSsmoJpI6,Consultancy,2574010.25
ESTCTviHl3,Kismat Sagar,Twitter / X,Uttarakhand,North,27-01-2024,888826,9742,43792,406968,104,z0oRaFxMPMDE,Sponsorship,5322592.64
aGr8bYPX4g,Tejas Balan,Twitter / X,Maharashtra,West,08-03-2024,202255,81235,34501,2117437,5807,qyxzJ9oQ0O1V,Sponsorship,4053377.7
IdakEAWJ1f,Anay Kar,Youtube,Madhya Pradesh,Central,07-04-2020,946053,90739,37144,3988785,4441,ce53Ic5t7KUS,Patrion,9288820.53
koZy3uUi9S,Inaaya  Bhatti,Youtube,Jharkhand,East,04-01-2022,459320,30427,4981,2857099,9915,V7yVbq9Ew6AQ,Patrion,857855.48
speqxWjywf,Elakshi Raju,Facebook,Punjab,North,25-06-2023,283870,13399,8683,732302,3070,AIFgfILW1azW,Guest Appearance,9052170.54
JkxisEdAAE,Hrishita Bakshi,Twitter / X,Haryana,North,08-05-2022,756917,81924,32492,4981209,3203,Ciay0x1BAZOK,Consultancy,3207330.89
mt78sREJpx,Vihaan Shenoy,Snapchat,Tamil Nadu,South,19-02-2022,210505,77624,35758,1509338,9012,bT6mXZe0XPis,Consultancy,6586971.02
AxBLKH51zc,Vritika Biswas,Facebook,Tamil Nadu,South,21-10-2024,959819,11138,7167,2082312,5816,kLINO7uXggnU,Guest Appearance,5805602.44
nxCQQj9Ds5,Ivan Mannan,Twitter / X,Odisha,East,05-12-2020,366249,40880,22483,3819606,3389,GvgSCecSbvgX,Collaboration,5160423.03
jI7ozlNAbM,Dishani Hora,Instagram,Nagaland,Unknown,14-10-2023,408723,583,46185,1801840,3371,rRXJXHwmhPE7,Consultancy,5970111.32
yhvCkPX4KP,Darshit Koshy,Facebook,Punjab,North,10-04-2020,123629,23992,24464,1185801,8369,yKJAEH45kkrl,Patrion,6194480.38
waiY7FEQz0,Reyansh Boase,Snapchat,West Bengal,East,19-02-2021,33359,99753,14452,2450227,535,rHkCUVIhhWZw,Sponsorship,7600281.3
H9gZUs9BvY,Miraan Rama,Snapchat,Manipur,Unknown,07-04-2020,851083,96680,38530,2941304,9998,NkimmdvrHuRr,Consultancy,9524021.06
9Qf7W491h1,Samaira Apte,Instagram,Mizoram,Unknown,11-12-2021,869726,32447,49903,3294212,8019,iNMxeXVyUR2C,Patrion,3273565.51
10f8NR0Xy8,Hansh Raja,Instagram,Andhra Pradesh,South,11-05-2023,869581,37171,22135,4591173,9468,i0W3VcMZb5jC,Patrion,2023979.75
42s22fwfPO,Kimaya Bawa,Twitter / X,Tamil Nadu,South,10-11-2023,762253,91677,49494,1964140,7032,ORaDioQaRY9A,Collaboration,4777524.71
xTgt2iVUi9,Prerak Malhotra,Instagram,Haryana,North,19-09-2020,9886,79995,42599,1376709,7210,vnU5MBn3ihTv,Patrion,3145722.18
pNpLSr6b02,Amira Soman,Instagram,Chhattisgarh,Central,17-10-2024,198810,98021,25673,2479186,894,WXoxoNe3awtx,Guest Appearance,4209214.48
QV7VbeqcdW,Elakshi Dora,Youtube,Nagaland,Unknown,23-11-2022,526387,54451,27759,3374547,1350,NHjfe58juKVO,Sponsorship,3102384.76
T0dfACLtTT,Tarini Kaur,Twitter / X,Maharashtra,West,05-12-2020,736575,1487,10736,4164213,5680,GWSkhWq2VbYq,Sponsorship,2630233.56
MEFd1kjV3P,Lagan Mann,Twitter / X,Odisha,East,17-12-2021,3693,5772,805,2051446,753,Dxj51I4TAtzS,Consultancy,8260143.96
xF3lX87eCr,Vedika Trivedi,Facebook,Odisha,East,18-02-2022,479933,1044,24177,1683351,4777,IsMCKEVm3Vpa,Patrion,240078.65
v026aO0TgG,Raunak Seshadri,Instagram,Nagaland,Unknown,02-08-2023,150289,93277,18338,780364,719,53GRx8ffiYeJ,Patrion,6624776.84
oqtXRTtqem,Yuvraj  Yogi,Youtube,Chhattisgarh,Central,04-03-2020,173359,58925,30543,2634302,6660,hwVCC0fYsRLn,Consultancy,1484089.65
pwFPq9bzCU,Vanya Sura,Instagram,Tamil Nadu,South,04-08-2020,843946,18322,7959,100301,1010,Z8iZxNNKqYbd,Patrion,8093177.35
4ZucCkJYyb,Kiara Sunder,Snapchat,Assam,East,07-06-2021,953426,24530,18021,2347590,7307,2cMpszIdrim2,Guest Appearance,2492228.4
HbxSDWvJtq,Advik Sarin,Twitter / X,Uttar Pradesh,North,08-10-2022,31726,36822,3839,3956775,8674,wKojpoHXTV6J,Patrion,3548691.54
9kotTwKRvJ,Tanya Krishnamurthy,Instagram,Uttarakhand,North,27-04-2024,850767,64517,35528,2592525,2876,EfonGa4miS40,Consultancy,596500.07
K4W017x6yg,Amani Gade,Facebook,Chhattisgarh,Central,06-03-2022,768926,57261,41894,4086929,5198,k8R5WnKktQhT,Guest Appearance,3916622.67
7cL57nJ6iU,Nitya Date,Instagram,Tripura,Unknown,06-06-2022,668090,11629,46462,2816470,7317,anQvWScBAkz2,Consultancy,5460693.65
ZWJVnBXcbq,Faiyaz Dua,Twitter / X,Bihar,East,06-06-2020,932063,49212,10545,629165,8962,68u93RAOLAdu,Collaboration,4093389.38
STqrodJ0jw,Devansh Kapadia,Snapchat,Nagaland,Unknown,27-05-2020,695178,81931,39335,4029286,3271,gmN8DhWD3qNy,Consultancy,8855041.43
lcBqZIjRfP,Veer Buch,Youtube,Kerala,South,08-10-2023,581493,7993,25369,4383737,6858,7Q6Josy0cJGJ,Guest Appearance,1475329.09
B6knlceQmY,Aradhya Sahota,Instagram,Tripura,Unknown,11-05-2024,956047,95302,4391,730039,6358,II1G4aRKWgjJ,Guest Appearance,7584015.5
5IgrHvzxEL,Kismat Bumb,Twitter / X,Bihar,East,13-05-2021,151840,81034,39888,3369870,635,y2QdDqxuXt01,Sponsorship,9724993.93
i8BZqzOlnZ,Azad Wali,Snapchat,Haryana,North,27-06-2024,59936,67537,10418,550435,5097,RzWGJk2mdcdw,Collaboration,2740501.01
Cy5QpEB7DI,Prisha Gopal,Facebook,Uttarakhand,North,24-05-2021,872230,90289,5923,2391335,449,xkJ71OQqzbWV,Sponsorship,4741497.97
OLapXs7NAx,Parinaaz Rajagopal,Facebook,Chhattisgarh,Central,07-05-2023,490368,39602,44380,4367427,6506,Ka970IKrQDur,Consultancy,8615054.51
O7OlGod1Yz,Suhana Johal,Facebook,Himachal Pradesh,North,01-12-2021,688237,65191,19372,2176225,6857,zTK9YvSQND6w,Consultancy,8454347.02
OIsDTSI463,Elakshi Bhandari,Twitter / X,Uttarakhand,North,08-06-2021,781360,40250,27556,2779289,6089,qs0D1K6e3F1x,Consultancy,4131659.43
0imzJ4CtSW,Taran Upadhyay,Snapchat,West Bengal,East,06-11-2022,329638,83165,3801,39539,7406,qVkVEVfMNz7x,Sponsorship,5338292.25
xatZlPMpQv,Saanvi Lad,Instagram,Telangana,South,17-07-2020,618265,40123,10945,547667,749,ssTKu39v3wl6,Patrion,192228.21
TiTKkwOc2p,Divit Bhasin,Youtube,Haryana,North,20-01-2024,51290,86765,7085,165605,790,QzxHDjRNsPPq,Guest Appearance,7007562.74
ZgShhgmmqG,Charvi Randhawa,Instagram,Maharashtra,West,14-12-2022,310698,21020,2582,4598121,8132,4QDoafgJE6We,Sponsorship,9047889.06
o9sCgkcsXt,Ivana Bakshi,Twitter / X,Rajasthan,West,01-01-2020,894385,18139,43473,1430360,5384,wBM2fYly7qx0,Patrion,6488815.99
kiT80g4DJB,Khushi Karpe,Youtube,Uttar Pradesh,North,20-06-2023,31216,89714,47662,1096016,7914,5hzcqtRQVJJ8,Consultancy,5191477.69
RfPpvPx0I9,Vivaan Kata,Twitter / X,Tamil Nadu,South,06-11-2020,531126,61510,32495,1387508,1226,UturFIxYeBJf,Patrion,4471234.13
8UbzcIZX7N,Inaaya  Bhakta,Youtube,Bihar,East,21-04-2024,705091,59796,22338,3047937,889,Y0uVLSwCgOaw,Consultancy,5477358.13
RckiSSgLl5,Armaan Choudhary,Snapchat,Kerala,South,27-08-2021,820378,24979,46975,2834792,1765,UcNPh3CKF7aT,Guest Appearance,9353147.5
K5W4QkYgOL,Kiara Reddy,Facebook,Uttarakhand,North,14-07-2024,639576,90769,49962,2082377,4482,yvsXiL2F0HtT,Guest Appearance,6326200.26
nSQ5iS8lHN,Rohan Kulkarni,Twitter / X,Gujarat,West,16-09-2022,612116,74794,43722,3502058,8747,r0YGbjPmUjrp,Sponsorship,6906257.91
mHwCMPInOy,Pihu Kalla,Youtube,Jharkhand,East,22-12-2022,50261,50014,25398,3494410,5122,7dUm11BnNRwK,Guest Appearance,1965494.35
7slQlkFxAI,Vritika Ratti,Instagram,Telangana,South,28-10-2021,268403,739,21663,3911870,2536,c5LVM0sWIeRG,Collaboration,5206542.27
FzHfnnuwnU,Uthkarsh Ahluwalia,Youtube,Uttar Pradesh,North,27-09-2023,789669,85105,576,962357,5668,B4MM7Qt46xHr,Guest Appearance,8221268.53
FFEsOtff8V,Misha Sehgal,Youtube,Kerala,South,03-11-2020,222020,87862,41255,1788242,6950,ZmZ2TAYeQbSc,Sponsorship,543626.44
peY4zBztyh,Shalv Agate,Twitter / X,Uttar Pradesh,North,25-02-2024,783186,76756,2982,608924,5860,5gWsfVByODHi,Patrion,7967907.6
H7iP4XTx6I,Priyansh Chanda,Youtube,West Bengal,East,02-02-2021,6274,75067,39102,3305796,8800,HfnTTn40ilMp,Sponsorship,1814398.49
JdU9INePpm,Divit Choudhury,Youtube,Uttar Pradesh,North,12-06-2023,135443,87988,42957,1967404,1639,relEuOQjJY7k,Consultancy,2462505.21
SNrwQuDBWE,Shayak Barman,Twitter / X,Haryana,North,20-11-2021,86955,36780,9175,4518255,3218,q2eebFbKzK4I,Guest Appearance,8939965.36
DWwnVTsCFy,Yashvi Bali,Youtube,Nagaland,Unknown,08-11-2020,890173,80482,44837,1391196,8423,ijJJ2jT6cVoq,Collaboration,429041.6
GXy42cOg8N,Vritika Kota,Facebook,Gujarat,West,18-10-2022,598856,22786,24684,3175243,5985,K3ep8nzYvX3a,Collaboration,4399547.11
eNnlwShoYS,Lagan Loyal,Snapchat,Haryana,North,07-08-2023,620489,21134,42418,3446872,367,phKiF3jk5Gz8,Sponsorship,8785211.32
PrfB91kZLX,Yasmin Rana,Instagram,Telangana,South,17-11-2024,278370,21983,47460,2874534,7429,KexibG4QZLl3,Guest Appearance,391326.6
GUfO3Ha6QA,Ela Thakur,Snapchat,Uttar Pradesh,North,23-01-2022,556552,56224,15039,4044344,6246,vX4ZJApV4fLH,Consultancy,1891021.12
UaGGxmXzgA,Manjari Sura,Youtube,Tamil Nadu,South,28-05-2022,563146,55517,37006,3067244,4514,9ymIIlID9JWy,Collaboration,8550134.23
hoW6gFWXMQ,Aaryahi Sridhar,Twitter / X,Sikkim,East,21-07-2021,6547,11939,9524,3956643,9834,Adnecx9MGSL6,Collaboration,6403272.85
a05GmWFRMP,Purab Dugal,Facebook,Manipur,Unknown,01-11-2021,166092,11382,18083,3350692,5785,PzmaR4ITIKvY,Collaboration,6064027.72
CzakFIFvhF,Kavya Barad,Facebook,Gujarat,West,09-10-2024,728912,58034,24712,4724200,7923,VU7CCKbheN9P,Collaboration,8001813.78
7GaZpfPYe5,Shamik Mann,Snapchat,Maharashtra,West,07-06-2022,938758,75197,17634,1533307,3115,EmT2mmpMjg5P,Patrion,6138655.93
170xt32Jrl,Yuvaan Sandal,Youtube,Tripura,Unknown,08-07-2022,787609,75584,8404,454227,8613,XDHFyQk8RCQa,Collaboration,3794900.61
uLqIoDMwEn,Mehul Bala,Facebook,Bihar,East,09-07-2022,473623,23578,37447,1100075,9435,QYSXI1mXTDaA,Collaboration,9955622.14
NHtEp1cgkn,Aaryahi Bandi,Facebook,West Bengal,East,04-11-2023,472706,97595,21932,2179101,5914,wIYvzvQLJOH8,Consultancy,3551735.27
FWBeMC71N5,Tushar Rama,Snapchat,Sikkim,East,13-10-2024,891136,9351,5184,1358950,5629,otsqNqB1wK7z,Collaboration,8542264.23
TP6Rekgd2I,Aarna Randhawa,Twitter / X,Chhattisgarh,Central,25-09-2023,88295,13622,17200,1302535,1381,O2tprMiZbP1u,Patrion,4672467.57
HqB8RkLNNI,Manjari Kunda,Youtube,West Bengal,East,12-05-2024,506048,70735,14885,751233,7239,tzjaGVirHQEU,Consultancy,92316.86
XLXHl2BpSO,Urvi Sami,Snapchat,Maharashtra,West,03-05-2021,443750,81962,15699,4333639,4454,rUYz0lrNMqMl,Sponsorship,1522340.9
b8rhBafanA,Vaibhav Chakraborty,Snapchat,Nagaland,Unknown,23-08-2022,830868,4159,21643,672960,2393,dWeDl0YZhVpV,Patrion,2472374.75
mTfPmy76jT,Gatik Bansal,Youtube,Arunachal Pradesh,East,09-02-2024,505605,83692,19583,1667014,5905,31nhNukrhWac,Patrion,6884376.98
xfjfM59MdN,Divij Yadav,Youtube,Chhattisgarh,Central,16-03-2020,244977,41515,36592,2913512,7187,TbxSpcRIHEJH,Consultancy,7324291.7
1L1jGBYHCW,Lakshit Biswas,Youtube,Himachal Pradesh,North,06-12-2023,926821,2453,40614,3054084,3912,td7YlQVjrztf,Sponsorship,438728.86
lbglbNyEMK,Saanvi Agarwal,Twitter / X,Chhattisgarh,Central,20-04-2022,753715,9289,857,1751022,8051,5ZDNwU3YXdMG,Sponsorship,8344730.53
67gSGlGpMl,Kismat Sani,Youtube,Assam,East,04-12-2023,804506,83705,37785,3002814,7515,RAgXIFOHL53I,Consultancy,8448695.29
VATLInV5p7,Adira Setty,Snapchat,Maharashtra,West,24-01-2023,37346,37287,39043,136754,8480,i3a9ntV6Y4FJ,Guest Appearance,1547993.15
Cjq3ppsJJn,Onkar Gaba,Twitter / X,Arunachal Pradesh,East,06-08-2022,512994,90386,46061,4833788,1562,KsTJedVvYz11,Collaboration,7477038.89
LaWxscHjFn,Divit Loke,Twitter / X,West Bengal,East,25-08-2023,625041,75399,33077,755670,3638,AWjuDUHqyARV,Patrion,5593402.48
yJI9GpqAQJ,Vritika Rana,Twitter / X,Meghalaya,Unknown,12-07-2023,366227,24967,21019,2890084,9730,OVkvYXMB5oQj,Sponsorship,1124605.04
pMjZrvXsDu,Stuvan Randhawa,Youtube,Arunachal Pradesh,East,18-04-2021,549684,98350,16951,4603668,7913,M9RPx4GpdmRq,Patrion,6547923.96
eOP4wgs2x8,Anaya Kakar,Youtube,Andhra Pradesh,South,16-06-2020,909877,78263,34836,738370,3054,m7ISc5sEUbQw,Consultancy,2362811.45
rdpy9966nv,Nirvi Rama,Snapchat,Mizoram,Unknown,24-02-2021,401773,68251,44433,1907804,6837,oj84uHmiHX1t,Guest Appearance,9095717.59
98i54tI6ht,Jayesh Walia,Instagram,Maharashtra,West,14-06-2020,432228,39760,29032,2296768,2489,WglVLqJooQwQ,Patrion,1341732.19
LSx0EilbVa,Indrajit Badami,Facebook,West Bengal,East,24-04-2023,704950,26585,49661,1715991,1083,k7BMQ13AWLZS,Patrion,6115437.24
JHNRcgC22p,Ishita Dani,Youtube,Telangana,South,02-12-2023,585791,50777,33824,413520,3110,sysZCAMdGiZC,Guest Appearance,1132602.69
K3HyubC332,Samar Hegde,Twitter / X,Tripura,Unknown,23-06-2022,681081,93253,10747,1036364,1494,hBwGxXF6xxV4,Guest Appearance,8713182.73
j1lSAtVBMh,Ishita Sachar,Instagram,West Bengal,East,20-01-2021,803575,33175,800,3847373,8153,1Ha2oKDzeLpH,Guest Appearance,6286725.62
ZdjOc0PZs5,Uthkarsh Gokhale,Twitter / X,Uttarakhand,North,06-07-2020,170172,88092,18637,4990961,9376,WkCJ5fswxeAI,Consultancy,4708697.63
RrGGRLgTM9,Damini Wadhwa,Snapchat,Bihar,East,10-12-2024,448798,79802,20741,2178186,8608,JM5METEY2osm,Sponsorship,240843.99
XTmMzcvXnN,Krish Bala,Facebook,Rajasthan,West,10-02-2022,315870,66412,36044,2717270,100,huyJ7ZmZ5DDc,Collaboration,4815473.74
C13CY5dGJQ,Shaan Sidhu,Youtube,Rajasthan,West,07-01-2024,606445,89848,21739,2966174,1084,8rb8M0JyK1UR,Consultancy,7098690.31
zEoC6nsgWW,Arnav Shukla,Twitter / X,Himachal Pradesh,North,01-09-2023,838838,63263,32771,1292498,3116,vD2tuVg8G9mc,Patrion,7137060.23
htc02u3gVU,Dhanush Chopra,Twitter / X,Mizoram,Unknown,21-05-2024,936471,27504,21029,1682381,3154,rHVPqjh7IgHI,Consultancy,1416426.73
XJkt3Hdb4d,Hazel Chatterjee,Snapchat,Tamil Nadu,South,14-02-2020,411954,23459,46181,4972399,7304,MtYSPH8UCiY5,Patrion,973532.71
QSCon1M4yR,Tejas Karan,Facebook,Jharkhand,East,16-08-2022,32734,8567,31151,946965,5758,D0rvJFzSgIes,Patrion,4008763.93
opjDemRA8J,Seher Gopal,Facebook,Maharashtra,West,08-12-2024,182493,86849,43883,653425,9407,ZhKugBtzLQKY,Consultancy,4943457.18
dniKUYUOCs,Vidur Deo,Youtube,Sikkim,East,07-08-2024,216651,89327,20748,2514362,9343,XQ46S49KLF00,Sponsorship,3692859.71
